avg_batch_time_sec,avg_data_time_sec,epoch,epoch_time_sec,lr,round,train_acc,train_loss,val_acc
0.23452389863086864,0.041829841618891805,1,1.105599588016048,0.000999618372939158,0,9.99999994635582,5.275220737457276,-1.0
0.034328130597714335,0.010377693688496947,2,0.1789682439994067,0.0009984740801978985,0,11.39999998807907,4.4602556266784665,-1.0
0.03510068997275084,0.014338412263896316,3,0.19788969005458057,0.0009965688861926887,0,16.200000095367432,2.7038474044799803,-1.0
0.03465198806952685,0.013505631417501718,4,0.19277110905386508,0.0009939057285945933,0,18.799999809265138,2.401497667312622,-1.0
0.03406035149237141,0.010005804244428873,5,0.17639002110809088,0.0009904887137995992,0,26.0,2.1152016468048096,-1.0
0.03409315849421546,0.013200739223975688,6,0.18931568088009953,0.00098632311059685,0,23.199999964237215,2.076813747406006,-1.0
0.03498255094746128,0.013068078260403126,7,0.19234324805438519,0.0009814153420445555,0,25.000000131130218,2.0155859298706056,-1.0
0.014931953977793455,0.013603981002233922,8,0.11430046590976417,0.0009757729755661012,0,28.99999976158142,2.0087768325805664,-1.0
0.012075550970621407,0.009601135272532701,9,0.08689294382929802,0.0009694047112816298,0,29.200000131130217,1.9579833812713623,-1.0
0.029202534293290228,0.007282608421519399,10,0.14613165706396103,0.0009623203685930871,0,32.600000166893004,1.9014846172332764,-1.0
0.03441279468825087,0.006428325606975704,11,0.1635080659762025,0.0009545308710434153,0,34.39999969005585,1.8499277381896972,-1.0
0.03425777005031705,0.014085329952649772,12,0.19351425301283598,0.0009460482294732422,0,34.39999964237213,1.800313712120056,-1.0
0.034292679745703936,0.006830686004832387,13,0.16465446399524808,0.0009368855235010348,0,37.79999964237213,1.7663341693878174,-1.0
0.0344000180484727,0.01390384545084089,14,0.19336162297986448,0.0009270568813552758,0,33.199999761581424,1.815347650527954,-1.0
0.03432045626686886,0.009476168197579682,15,0.1753324158489704,0.0009165774580897602,0,36.59999990463257,1.7293143320083617,-1.0
0.033981107466388494,0.013961497286800295,16,0.1918956560548395,0.0009054634122155992,0,38.19999990463257,1.7310658082962036,-1.0
0.03433563653379679,0.013530300988350064,17,0.19160746480338275,0.0008937318807859689,0,39.39999988079071,1.6655553073883056,-1.0
0.034432143555022776,0.013922556187026203,18,0.19354099198244512,0.0008814009529720156,0,38.79999990463257,1.6511101083755493,-1.0
0.03407167352270335,0.013971922744531184,19,0.19230036297813058,0.0008684896421706646,0,41.199999642372134,1.5995485858917236,-1.0
0.03450120473280549,0.014745173510164022,20,0.19711170298978686,0.0008550178566873412,0,41.39999988079071,1.5962543964385987,-1.0
0.03160935133928433,0.013692819164134562,21,0.18134539597667754,0.0008410063690388064,0,38.599999690055846,1.620290638923645,-1.0
0.010773116257041693,0.01332167600048706,22,0.09653583401814103,0.0008264767839234412,0,43.80000026226044,1.5629867687225343,-1.0
0.012530755484476686,0.006910388299729675,23,0.07798938103951514,0.000811451504908368,0,43.999999833107,1.536106819152832,-1.0
0.03419434482930228,0.00603477843105793,24,0.16112505504861474,0.0007959536998847743,0,43.00000007152558,1.5571385517120362,-1.0
0.03442768950480968,0.009392422274686396,25,0.17542204004712403,0.0007800072653447032,0,44.200000047683716,1.5217416944503783,-1.0
0.034307248482946306,0.013508929288946092,26,0.1913908589631319,0.0007636367895343947,0,44.599999856948855,1.4772206392288207,-1.0
0.03420216095400974,0.01407869579270482,27,0.1932343328371644,0.0007468675145409928,0,47.00000007152558,1.4793429365158082,-1.0
0.03404570947168395,0.005870332010090351,28,0.15977021493017673,0.0007297252973710758,0,45.39999964237213,1.4652056875228883,-1.0
0.034011280455160886,0.009792126307729632,29,0.1753161009401083,0.0007122365700810271,0,44.80000002384186,1.4660801916122437,-1.0
0.034146692720241845,0.013313847011886537,30,0.18996498407796025,0.0006944282990207196,0,47.200000047683716,1.4544936914443969,-1.0
0.03442875895416364,0.013412741769570857,31,0.19147281302139163,0.0006763279432533592,0,46.79999961853027,1.4259424419403077,-1.0
0.034106500272173434,0.013449787744320929,32,0.19033448584377766,0.0006579634122155992,0,47.600000095367434,1.387684573173523,-1.0
0.03446495998650789,0.013387469516601413,33,0.19151670788414776,0.000639363022683212,0,49.39999976158142,1.3711834478378295,-1.0
0.034337546559982,0.013552186486776918,34,0.19166997796855867,0.0006205554551086735,0,50.799999475479126,1.3502405920028686,-1.0
0.020708162512164563,0.013476655527483672,35,0.13683734880760312,0.0006015697093979838,0,51.40000004768372,1.3597843799591065,-1.0
0.011578033037949353,0.014123524713795632,36,0.10294817411340773,0.0005824350601949146,0,52.2,1.3718895902633668,-1.0
0.028563791885972023,0.007739367836620659,37,0.14538492704741657,0.0005631810117416299,0,51.20000026226044,1.3525307693481445,-1.0
0.034322509018238634,0.009033097012434155,38,0.17357980902306736,0.0005438372523852835,0,52.8,1.2876273603439332,-1.0
0.034150055900681764,0.012521664320956916,39,0.18681520293466747,0.0005244336088007391,0,52.19999978542328,1.2795136518478394,-1.0
0.03429132024757564,0.012129205977544188,40,0.18582755303941667,0.0005050000000000001,0,52.60000026226044,1.2656969509124756,-1.0
0.03443806478753686,0.009421801485586911,41,0.1755697699263692,0.0004855663911992613,0,55.4,1.2432079248428345,-1.0
0.03438709338661283,0.013504099333658814,42,0.19169238186441362,0.00046616274761471693,0,53.99999947547913,1.279770372390747,-1.0
0.03451350028626621,0.009888223255984485,43,0.1777362881693989,0.00044681898825837057,0,55.4000006198883,1.1877728672027588,-1.0
0.03464282146887854,0.013242214277852327,44,0.19167169998399913,0.000427564939805086,0,56.20000061988831,1.198908115386963,-1.0
0.034139840048737824,0.014086256735026836,45,0.19303148798644543,0.00040843029060201667,0,56.199999284744266,1.1796354122161865,-1.0
0.03459414903772995,0.009270456968806684,46,0.17559377709403634,0.000389444544891327,0,54.799999952316284,1.222654179573059,-1.0
0.03413404949242249,0.007035950955469161,47,0.16480804281309247,0.0003706369773167883,0,55.199999713897704,1.2251910028457642,-1.0
0.0345867503201589,0.009264843945857137,48,0.1755357899237424,0.0003520365877844012,0,58.60000038146973,1.141095043182373,-1.0
0.01565053832018748,0.007041486969683319,49,0.09088855097070336,0.0003336720567466412,0,57.59999976158142,1.1431690101623535,-1.0
0.010044960246887058,0.011970661231316626,50,0.08821373293176293,0.0003155717009792807,0,57.59999952316284,1.1511650037765504,-1.0
0.015270413481630385,0.00712792674312368,51,0.08977311896160245,0.00029776342991897335,0,55.199999761581424,1.1134558954238891,-1.0
0.034018633770756423,0.005896563990972936,52,0.15978714008815587,0.00028027470262892445,0,57.5999997138977,1.1263051624298095,-1.0
0.033943273476324975,0.006075006036553532,53,0.1602035230025649,0.0002631324854590073,0,59.39999942779541,1.1114918718338012,-1.0
0.034369116474408656,0.006038937252014875,54,0.1617606971412897,0.0002463632104656054,0,60.20000061988831,1.1307686882019043,-1.0
0.034470020211301744,0.006971339287701994,55,0.16589369089342654,0.0002299927346552969,0,55.60000023841858,1.1302678966522217,-1.0
0.03449848049785942,0.008255764027126133,56,0.17115669790655375,0.00021404630011522587,0,59.79999990463257,1.0682905359268189,-1.0
0.03452862304402515,0.007197931234259158,57,0.16704206098802388,0.00019854849509163232,0,58.80000038146973,1.1351787090301513,-1.0
0.03411671327194199,0.008620688458904624,58,0.17107885098084807,0.00018352321607655918,0,61.39999942779541,1.0438258028030396,-1.0
0.03448768181260675,0.007011168927419931,59,0.16610527806915343,0.00016899363096119395,0,59.40000057220459,1.060949767112732,-1.0
0.03448915353510529,0.00872288946993649,60,0.17295633419416845,0.000154982143312659,0,62.400000190734865,1.0192491292953492,-1.0
0.03424335550516844,0.010463542770594358,61,0.17894329596310854,0.0001415103578293356,0,60.000000143051146,1.0683345289230346,-1.0
0.03431631496641785,0.007406714255921543,62,0.16700790985487401,0.0001285990470279847,0,61.20000061988831,1.0237374305725098,-1.0
0.03459131479030475,0.008753952977713197,63,0.17349518300034106,0.0001162681192140312,0,60.4000006198883,1.0547105808258057,-1.0
0.03143854468362406,0.006272825296036899,64,0.15095174801535904,0.00010453658778440107,0,60.999999618530275,1.0366646780967712,-1.0
0.009680631745141,0.007613068737555295,65,0.06928406585939229,9.342254191024022e-05,0,63.59999947547912,0.9962272396087647,-1.0
0.008347835042513907,0.006910928466822952,66,0.06114344717934728,8.294311864472437e-05,0,64.000000333786,0.9886670713424682,-1.0
0.02918181545101106,0.006696590280625969,67,0.14362673298455775,7.311447649896551e-05,0,63.800000524520875,1.0034007306098938,-1.0
0.03427111450582743,0.00749735749559477,68,0.1671843440271914,6.395177052675794e-05,0,62.999999570846555,1.0053709192276001,-1.0
0.03402788221137598,0.007118480280041695,69,0.1646976179908961,5.546912895658472e-05,0,61.59999990463257,1.0325212097167968,-1.0
0.03417094674659893,0.009596398507710546,70,0.17518026591278613,4.767963140691306e-05,0,66.39999985694885,1.0041419506072997,-1.0
0.03402306273346767,0.00952310353750363,71,0.17429497092962265,4.059528871837034e-05,0,62.79999961853027,1.0127580871582031,-1.0
0.03457277955021709,0.010332082747481763,72,0.1797295529395342,3.4227024433899e-05,0,63.79999966621399,0.984902382850647,-1.0
