acquisition_pool_scored_size,acquisition_scoring_time_sec,avg_logit_mismatch,clean_acc,eval_time_sec,fgsm_acc,labeled_size,mean_grad_disp_score,method,pgd10_acc,pgd_acc,pool_size,round,round_time_sec,selected_mean_grad_disp_score,selection_time_sec,train_time_sec
49500,0.0,nan,41.81,8.34567855601199,32.25,500,nan,badge,31.96,31.96,49500,0,31.28112963400781,nan,0.0,22.67962182778865
5000,0.5648527790326625,nan,43.35,8.445333934854716,34.0,600,nan,badge,33.84,33.84,49400,1,46.89734401507303,nan,0.3966285241767764,37.20716671599075
5000,0.5547326109372079,nan,45.44,8.466311761876568,36.36,700,nan,badge,36.01,36.01,49300,2,52.057747084181756,nan,0.3906413761433214,42.16521754791029
5000,0.5610602330416441,nan,46.64,8.492635353002697,37.24,800,nan,badge,37.02,37.02,49200,3,58.766436910955235,nan,0.39741427591070533,48.952198987826705
5000,0.6310989568009973,nan,47.46,8.481367191998288,39.56,900,nan,badge,39.45,39.45,49100,4,64.64669963112101,nan,0.4050969001837075,54.510441697901115
5000,0.5753780910745263,nan,52.2,8.670865094987676,41.88,1000,nan,badge,41.62,41.62,49000,5,70.04784627794288,nan,0.3948488219175488,60.0231340858154
5000,0.5125038120895624,nan,52.19,8.780126556986943,42.07,1100,nan,badge,41.9,41.9,48900,6,76.85974111687392,nan,0.4339504048693925,66.56065860996023
5000,0.6019241739995778,nan,54.0,8.738022186094895,42.64,1200,nan,badge,42.41,42.41,48800,7,82.40124102006666,nan,0.41442917194217443,72.00757660414092
5000,0.6025828528217971,nan,56.53,8.505440007895231,45.17,1300,nan,badge,44.86,44.86,48700,8,88.73014699481428,nan,0.38086852012202144,78.62406096491031
5000,0.6360959829762578,nan,55.98,8.754981121048331,43.66,1400,nan,badge,43.24,43.24,48600,9,92.72065104101785,nan,0.39146364014595747,82.28163570701145
5000,0.6290651140734553,nan,56.4,8.778943181037903,44.99,1500,nan,badge,44.76,44.76,48500,10,99.10453766095452,nan,0.3973408220335841,88.66402367688715
5000,0.6359779101330787,nan,59.29,8.876611575018615,47.31,1600,nan,badge,47.07,47.07,48400,11,105.18661502096802,nan,0.38792355498299,94.6829192719888
5000,0.5935683650895953,nan,59.72,8.82584435888566,48.07,1700,nan,badge,47.73,47.73,48300,12,112.52596021001227,nan,0.38854737486690283,102.18747477396391
5000,0.6124766019638628,nan,60.41,8.737473814049736,47.9,1800,nan,badge,47.62,47.62,48200,13,118.22741558798589,nan,0.39264247799292207,108.04455831204541
5000,0.674296619836241,nan,61.19,8.790677390992641,49.1,1900,nan,badge,48.86,48.86,48100,14,123.45359117491171,nan,0.3924986699130386,112.87572795408778
5000,0.6446021220181137,nan,62.72,8.955370872979984,50.88,2000,nan,badge,50.47,50.47,48000,15,129.1547620149795,nan,0.38135395711287856,118.54543736297637
5000,0.6663210489787161,nan,64.16,8.806312826927751,51.6,2100,nan,badge,51.29,51.29,47900,16,135.43803171487525,nan,0.39447652688249946,124.85948648792692
5000,0.6283000139519572,nan,64.15,8.7788224699907,51.9,2200,nan,badge,51.51,51.51,47800,17,142.05790545395575,nan,0.38205311610363424,131.59504553396255
5000,0.6492783930152655,nan,65.28,8.894873005105183,53.79,2300,nan,badge,53.53,53.53,47700,18,147.00158434803598,nan,0.3857508988585323,136.4856450331863
5000,0.6236028810963035,nan,65.11,8.975945333018899,52.87,2400,nan,badge,52.59,52.59,47600,19,153.03041272400878,nan,0.3911834310274571,142.57715458492748
5000,0.7128867679275572,nan,67.04,8.987866059876978,54.85,2500,nan,badge,54.42,54.42,47500,20,159.8928924689535,nan,0.39360420498996973,149.271460584132
