acquisition_pool_scored_size,acquisition_scoring_time_sec,avg_logit_mismatch,clean_acc,eval_time_sec,fgsm_acc,labeled_size,mean_grad_disp_score,method,pgd10_acc,pgd_acc,pool_size,round,round_time_sec,selected_mean_grad_disp_score,selection_time_sec,train_time_sec
49500,0.0,nan,9.07,8.950492438161746,6.76,500,nan,coreset,6.71,6.71,49500,0,39.068976434879005,nan,0.0,29.678022101987153
5000,0.730223935097456,nan,10.25,8.402156019117683,7.75,600,nan,coreset,7.72,7.72,49400,1,45.70009175501764,nan,0.42938033607788384,35.86420130287297
5000,0.5793937467969954,nan,11.44,8.7946850231383,8.69,700,nan,coreset,8.58,8.58,49300,2,52.71770559484139,nan,1.2163522681221366,41.47397392010316
5000,0.5610158541239798,nan,12.26,8.360917761921883,9.31,800,nan,coreset,9.24,9.24,49200,3,59.35527593689039,nan,0.9357723861467093,49.0588960791938
5000,0.5482922650408,nan,11.29,8.422595463925973,8.92,900,nan,coreset,8.92,8.92,49100,4,66.13235048390925,nan,0.9325590620283037,55.68432058393955
5000,0.6192478118464351,nan,13.6,8.680232730926946,10.11,1000,nan,coreset,10.04,10.04,49000,5,69.57021301495843,nan,0.9593087679240853,58.723915331065655
5000,0.6561300249304622,nan,14.29,8.800196084193885,10.82,1100,nan,coreset,10.7,10.7,48900,6,75.8813953390345,nan,0.3792110870126635,65.4356774110347
5000,0.5755858269985765,nan,15.46,8.655189974000677,11.33,1200,nan,coreset,11.27,11.27,48800,7,81.68389153690077,nan,1.0708810561336577,70.75420959107578
5000,0.5801164789590985,nan,16.13,8.758532251929864,12.13,1300,nan,coreset,12.01,12.01,48700,8,89.16745951818302,nan,1.0764138859231025,78.02212082897313
5000,0.6126338480971754,nan,15.92,8.89372321497649,12.29,1400,nan,coreset,12.21,12.21,48600,9,93.2141524660401,nan,1.0971324918791652,81.91928251599893
5000,0.5947372219525278,nan,17.68,8.833712761988863,13.54,1500,nan,coreset,13.49,13.49,48500,10,100.43814159906469,nan,1.1382400097791106,89.20725914719515
5000,0.6726254750974476,nan,17.49,8.884674805914983,13.17,1600,nan,coreset,13.06,13.06,48400,11,105.32127742702141,nan,1.036972566973418,93.99158641090617
5000,0.6287560309283435,nan,19.01,8.765101217897609,14.52,1700,nan,coreset,14.38,14.38,48300,12,112.07809940399602,nan,0.9189768109936267,101.0797465890646
5000,0.616960464976728,nan,18.7,8.828890095930547,14.6,1800,nan,coreset,14.51,14.51,48200,13,118.61485872603953,nan,1.0528577761724591,107.57802484813146
5000,0.6030474537983537,nan,19.41,9.053791222861037,14.62,1900,nan,coreset,14.58,14.58,48100,14,123.10330075002275,nan,1.2399271440226585,111.6765338499099
5000,0.5966825138311833,nan,19.45,8.947526433039457,14.76,2000,nan,coreset,14.6,14.6,48000,15,130.0034771838691,nan,1.2874780399724841,118.50933548202738
5000,0.6211676190141588,nan,20.32,8.922839303966612,15.23,2100,nan,coreset,15.05,15.05,47900,16,135.86481408588588,nan,1.2447697131428868,124.39728508307599
5000,0.6104501101654023,nan,21.17,8.92757991887629,15.79,2200,nan,coreset,15.65,15.65,47800,17,143.31772783608176,nan,1.253933782922104,131.9268276160583
5000,0.6217428371310234,nan,21.88,9.017546356189996,16.53,2300,nan,coreset,16.37,16.37,47700,18,147.04856649111025,nan,1.2722737870644778,135.43281291401945
5000,0.6377728229854256,nan,22.38,8.945137246977538,16.49,2400,nan,coreset,16.38,16.38,47600,19,153.0781211310532,nan,1.2628808829467744,141.63966522505507
5000,0.602192920865491,nan,23.06,8.623530382057652,17.3,2500,nan,coreset,17.18,17.18,47500,20,156.21185021917336,nan,1.1742812080774456,145.23203333793208
