acquisition_pool_scored_size,acquisition_scoring_time_sec,avg_logit_mismatch,clean_acc,eval_time_sec,fgsm_acc,labeled_size,mean_grad_disp_score,method,pgd10_acc,pgd_acc,pool_size,round,round_time_sec,selected_mean_grad_disp_score,selection_time_sec,train_time_sec
49500,0.0,nan,9.13,1.3633855700027198,7.05,500,nan,coreset,7.06,7.06,49500,0,8.227311534108594,nan,0.0,6.586595474975184
5000,0.4398802169598639,nan,10.18,1.2406297570560127,8.1,600,nan,coreset,8.08,8.08,49400,1,9.353466646047309,nan,0.4122993981000036,7.123880319064483
5000,0.5343685219995677,nan,10.8,1.4793398920446634,8.45,700,nan,coreset,8.41,8.41,49300,2,10.403920772019774,nan,0.028312733862549067,8.023937893100083
5000,0.5101585180964321,nan,12.11,1.4014922748319805,9.68,800,nan,coreset,9.64,9.64,49200,3,10.868266383884475,nan,0.02639127103611827,8.58207645919174
5000,0.451252463972196,nan,10.72,1.193322871113196,9.14,900,nan,coreset,9.13,9.13,49100,4,13.572629327885807,nan,0.02630896819755435,11.595963339088485
5000,0.4402709980495274,nan,13.07,1.132560480153188,10.07,1000,nan,coreset,10.04,10.04,49000,5,12.850956216920167,nan,0.02632580604404211,10.95734826498665
5000,0.4403503171633929,nan,13.94,1.2174761660862714,11.18,1100,nan,coreset,11.17,11.17,48900,6,14.845681464998052,nan,0.027158802840858698,12.819936371874064
5000,0.446749442955479,nan,13.97,1.1199161659460515,11.15,1200,nan,coreset,11.11,11.11,48800,7,14.8755314250011,nan,0.029284704942256212,12.968307331204414
5000,0.41461432515643537,nan,14.45,1.1479514681268483,11.64,1300,nan,coreset,11.62,11.62,48700,8,14.477368797874078,nan,0.026048643980175257,12.568229253171012
5000,0.4376668268814683,nan,14.36,1.1492058720905334,11.34,1400,nan,coreset,11.32,11.32,48600,9,15.319936474086717,nan,0.02641479205340147,13.402240895899013
5000,0.42989561101421714,nan,16.0,1.192434926982969,12.67,1500,nan,coreset,12.57,12.57,48500,10,16.625647732988,nan,0.02825169381685555,14.670565393054858
5000,0.45336125581525266,nan,16.13,1.1642728638835251,12.41,1600,nan,coreset,12.39,12.39,48400,11,16.615427954122424,nan,0.026061448035761714,14.683994624065235
5000,0.49343843990936875,nan,15.28,1.1546889878809452,11.82,1700,nan,coreset,11.77,11.77,48300,12,16.839655046118423,nan,0.026429178891703486,14.889340718043968
5000,0.4669294939376414,nan,16.09,1.155802487861365,12.79,1800,nan,coreset,12.78,12.78,48200,13,19.693883559899405,nan,0.03019973309710622,17.766877932008356
5000,0.4761760178953409,nan,17.32,1.2370803011581302,13.42,1900,nan,coreset,13.37,13.37,48100,14,18.058351333020255,nan,0.026264225132763386,16.009445778792724
5000,0.4659352139569819,nan,18.11,1.1277698748745024,13.82,2000,nan,coreset,13.76,13.76,48000,15,18.78029511193745,nan,0.026683993870392442,16.855858630966395
5000,0.4968900950625539,nan,17.1,1.369658462004736,13.63,2100,nan,coreset,13.59,13.59,47900,16,18.943129151128232,nan,0.025884700007736683,16.729543633991852
5000,0.49186706985346973,nan,18.38,1.2614958500489593,14.37,2200,nan,coreset,14.32,14.32,47800,17,20.364398462930694,nan,0.06415159301832318,18.19462174200453
5000,0.5995338000357151,nan,18.29,1.2321766950190067,14.34,2300,nan,coreset,14.32,14.32,47700,18,20.590861773118377,nan,0.02841668203473091,18.35480909398757
5000,0.6292578871361911,nan,19.6,1.4010271180886775,15.18,2400,nan,coreset,15.12,15.12,47600,19,21.598250000039116,nan,0.0288177530746907,19.163589993026108
5000,0.5461480161175132,nan,19.84,1.4869742910377681,14.95,2500,nan,coreset,14.9,14.9,47500,20,22.188376139150932,nan,0.029397101840004325,19.806590359890833
