acquisition_pool_scored_size,acquisition_scoring_time_sec,avg_logit_mismatch,clean_acc,eval_time_sec,fgsm_acc,labeled_size,mean_grad_disp_score,method,pgd10_acc,pgd_acc,pool_size,round,round_time_sec,selected_mean_grad_disp_score,selection_time_sec,train_time_sec
49500,0.0,nan,41.55,7.850601827958599,31.79,500,nan,badge,31.55,31.55,49500,0,40.64073819806799,nan,0.0,32.33994850795716
5000,0.5505951170343906,nan,44.04,7.687861400889233,33.61,600,nan,badge,33.34,33.34,49400,1,46.45878126495518,nan,0.3828355979640037,37.42080700513907
5000,0.5669365059584379,nan,47.45,7.8775727150496095,37.29,700,nan,badge,37.13,37.13,49300,2,53.12342424807139,nan,0.3848695708438754,43.78862527105957
5000,0.5557299710344523,nan,50.36,8.264125666115433,39.03,800,nan,badge,38.79,38.79,49200,3,60.54707516892813,nan,0.40268229600042105,50.91041228407994
5000,0.6212265829090029,nan,47.08,8.33358093095012,39.21,900,nan,badge,39.17,39.17,49100,4,66.35027424804866,nan,0.39819095795974135,56.54255342902616
5000,0.5943977870047092,nan,51.87,8.529956256970763,40.75,1000,nan,badge,40.45,40.45,49000,5,71.17638532398269,nan,0.40353747084736824,61.07618845417164
5000,0.5858381288126111,nan,52.98,8.500965055078268,41.77,1100,nan,badge,41.39,41.39,48900,6,77.11988096009009,nan,0.39275297801941633,67.04077881597914
5000,0.5854273659642786,nan,54.15,8.72803150396794,42.84,1200,nan,badge,42.51,42.51,48800,7,83.4416553939227,nan,0.39555179607123137,73.17302475706674
5000,0.6367106530815363,nan,56.5,8.867234485922381,44.24,1300,nan,badge,43.88,43.88,48700,8,89.50235707801767,nan,0.407667547930032,79.17381243593991
5000,0.6090728940907866,nan,57.07,8.839696323964745,45.38,1400,nan,badge,45.05,45.05,48600,9,94.36065497994423,nan,0.4086931711062789,84.11664390913211
5000,0.595530946040526,nan,57.5,8.395143186906353,45.96,1500,nan,badge,45.58,45.58,48500,10,100.3584226120729,nan,0.4084133990108967,90.42228098004125
5000,0.5999183689709753,nan,58.96,8.393025462981313,46.64,1600,nan,badge,46.27,46.27,48400,11,106.12906134291552,nan,0.3800818370655179,96.20369473309256
5000,0.5545343179255724,nan,60.66,8.12712852214463,48.63,1700,nan,badge,48.13,48.13,48300,12,113.51983407582156,nan,0.3941442361101508,104.06741485814564
5000,0.5738744367845356,nan,61.66,8.356595790944993,49.01,1800,nan,badge,48.63,48.63,48200,13,119.87020076904446,nan,0.3849261950235814,110.03876659087837
5000,0.5978414488490671,nan,62.29,8.295668097911403,49.7,1900,nan,badge,49.31,49.31,48100,14,124.5248063239269,nan,0.38587283506058156,114.82938885106705
5000,0.5888103670440614,nan,62.63,8.250869382172823,50.33,2000,nan,badge,50.08,50.08,48000,15,130.94872102700174,nan,0.39218455413356423,121.12107750796713
5000,0.6039146080147475,nan,65.49,7.904722017934546,53.03,2100,nan,badge,52.73,52.73,47900,16,136.3475199888926,nan,0.40623115096241236,126.8082325970754
5000,0.5908135869540274,nan,65.69,8.060116472886875,52.49,2200,nan,badge,52.07,52.07,47800,17,143.52264772891067,nan,0.4028969928622246,133.85114932409488
5000,0.6591002349741757,nan,67.61,8.087498147040606,55.07,2300,nan,badge,54.69,54.69,47700,18,148.10827481700107,nan,0.3968497810419649,138.3302840348333
5000,0.649621978867799,nan,65.31,8.253970165038481,52.39,2400,nan,badge,52.04,52.04,47600,19,155.37968581193127,nan,0.42096049385145307,145.41477627982385
5000,0.62732836115174,nan,67.38,5.846359409857541,54.89,2500,nan,badge,54.4,54.4,47500,20,156.5148932239972,nan,0.3851680390071124,149.0790862799622
